2018-11-14,Atlanta,mention
2018-11-14,Kimmel,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,Creed2,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,Creed2,tweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,Creed2,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,TheFrontRunner,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,tweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,TheFrontRunner,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,TheFrontRunner,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,WiR2,retweet
2018-11-14,WorldKindnessDay,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,tweet
2018-11-14,Creed2,mention
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RobinHood,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,Creed2,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,JamieDornan,tweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,Creed2,retweet
2018-11-14,Creed2,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,GreenBookMovie,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,Creed2,retweet
2018-11-14,Creed2,retweet
2018-11-14,RobinHood,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,tweet
2018-11-14,Creed2,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,Creed2,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,Creed2,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,Creed2,mention
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RobinHood,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,Creed2,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,Creed2,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,JamieDornan,tweet
2018-11-14,RalphBreaksTheInternet,tweet
2018-11-14,Creed2,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,LoveTheatreDay,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
2018-11-14,RalphBreaksTheInternet,retweet
